title,author,publisher,price,description,amazon_product_url
FOURTH WING,Rebecca Yarros,Red Tower,,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",https://www.amazon.com/dp/1649374046?tag=NYTBSREV-20
IRON FLAME,Rebecca Yarros,Red Tower,,The second book in the Empyrean series. Violet Sorrengail’s next round of training might require her to betray the man she loves.,https://www.amazon.com/dp/1649374178?tag=NYTBSREV-20
THE HEAVEN & EARTH GROCERY STORE,James McBride,Riverhead,,Secrets held by the residents of a dilapidated neighborhood come to life when a skeleton is found at the bottom of a well.,https://www.amazon.com/dp/0593422945?tag=NYTBSREV-20
ICEBREAKER,Hannah Grace,Atria,,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,https://www.amazon.com/dp/1668026031?tag=NYTBSREV-20
LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,https://www.amazon.com/dp/038554734X?tag=NYTBSREV-20
THE HOUSEMAID,Freida McFadden,Grand Central,,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,https://www.amazon.com/dp/1538742578?tag=NYTBSREV-20
THE EXCHANGE,John Grisham,Doubleday,,"In a sequel to “The Firm,” Mitch McDeere, who is now a partner at the world’s largest law firm, gets caught up in a sinister plot.",https://www.amazon.com/dp/0385548958?tag=NYTBSREV-20
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,,A movie icon recounts stories of her loves and career to a struggling magazine writer.,https://www.amazon.com/dp/1501161938?tag=NYTBSREV-20
TWISTED LOVE,Ana Huang,Bloom,,The first book in the Twisted series. Secrets emerge when Ava explores things with her brother’s best friend.,https://www.amazon.com/dp/1728274869?tag=NYTBSREV-20
HOUSE OF EARTH AND BLOOD,Sarah J. Maas,Bloomsbury,,Passion arises between Bryce Quinlan and Hunt Athalar as they seek to avenge the deaths of Bryce’s friends.,https://www.amazon.com/dp/1635574048?tag=NYTBSREV-20
HELLO BEAUTIFUL,Ann Napolitano,Dial,,"In a homage to Louisa May Alcott’s “Little Women,” a young man’s dark past resurfaces as he gets to know the family of his college sweetheart.",https://www.amazon.com/dp/0593243730?tag=NYTBSREV-20
WILDFIRE,Hannah Grace,Atria,,The second book in the Maple Hills series. Two summer camp counselors who previously had a one-night stand may run afoul of the camp’s rules.,https://www.amazon.com/dp/1668026279?tag=NYTBSREV-20
TOO LATE,Colleen Hoover,Grand Central,,Dangers develop when a drug trafficker becomes obsessed with a woman who has a mutual attraction to a D.E.A. agent.,https://www.amazon.com/dp/1538756595?tag=NYTBSREV-20
A COURT OF SILVER FLAMES,Sarah J. Maas,Bloomsbury,,The fifth book in the Court of Thorns and Roses series. Nesta Archeron is forced into close quarters with a warrior named Cassian.,https://www.amazon.com/dp/168119628X?tag=NYTBSREV-20
HOUSE OF SKY AND BREATH,Sarah J. Maas,Bloomsbury,,The second book in the Crescent City series. Bryce Quinlan and Hunt Athalar must choose to fight or stay silent.,https://www.amazon.com/dp/1635574072?tag=NYTBSREV-20
