title,author,publisher,price,description,amazon_product_url
THE WAGER,David Grann,Doubleday,,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,https://www.amazon.com/dp/0385534264?tag=NYTBSREV-20
OATH AND HONOR,Liz Cheney,"Little, Brown",,The former congresswoman from Wyoming recounts how she helped lead the Select Committee to Investigate the Jan. 6. Attack on the United States Capitol.,https://www.amazon.com/dp/0316572063?tag=NYTBSREV-20
THE BOYS IN THE BOAT,Daniel James Brown,Penguin,,The story of the American rowers who pursued gold at the 1936 Berlin Olympic Games; the basis of the film.,http://www.amazon.com/The-Boys-Boat-Americans-Olympics-ebook/dp/B00AEBETU2?tag=NYTBSREV-20
THE WOMAN IN ME,Britney Spears,Gallery,,"The Grammy Award-winning pop star details her personal and professional experiences, including the years she spent under a conservatorship overseen by her father.",https://www.amazon.com/dp/1668009048?tag=NYTBSREV-20
KILLERS OF THE FLOWER MOON,David Grann,Doubleday,,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",https://www.amazon.com/Killers-Flower-Moon-Osage-Murders/dp/0385534248?tag=NYTBSREV-20
"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,Flatiron,,"The late actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety.",https://www.amazon.com/dp/1250866448?tag=NYTBSREV-20
OUTLIVE,Peter Attia with Bill Gifford,Harmony,,A look at recent scientific research on aging and longevity.,https://www.amazon.com/dp/0593236599?tag=NYTBSREV-20
ELON MUSK,Walter Isaacson,Simon & Schuster,,"The author of “The Code Breaker” traces Musk’s life and summarizes his work on electric vehicles, private space exploration and artificial intelligence.",https://www.amazon.com/dp/1982181281?tag=NYTBSREV-20
PREQUEL,Rachel Maddow,Crown,,The MSNBC host and co-author of “Bag Man” details a campaign to overthrow the U.S. government and install authoritarian rule prior to and during our involvement in World War II.,https://www.amazon.com/dp/0593444515?tag=NYTBSREV-20
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,,"How trauma affects the body and mind, and innovative treatments for recovery.",http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20
MY NAME IS BARBRA,Barbra Streisand,Viking,,The EGOT winner chronicles her journey in show business and reveals details about some of her personal relationships.,https://www.amazon.com/dp/0525429522?tag=NYTBSREV-20
I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,https://www.amazon.com/dp/1982185821?tag=NYTBSREV-20
"THE KINGDOM, THE POWER, AND THE GLORY",Tim Alberta,Harper,,The author of “American Carnage” looks at divisions within the American evangelical movement.,https://www.amazon.com/dp/006322688X?tag=NYTBSREV-20
EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton,Harper Perennial,,The British journalist shares stories and observations; the basis of the TV series.,https://www.amazon.com/dp/0062968793?tag=NYTBSREV-20
GHOSTS OF HONOLULU,Mark Harmon and Leon Carroll Jr,Harper Select,,"The story of a Japanese American naval intelligence agent, a Japanese spy and events in Hawaii before the start of World War II.",https://www.amazon.com/dp/1400337011?tag=NYTBSREV-20
